School_name ,city ,zipcode,elementary_school,intermediate_school,middle_school,high_school,school_grade,title_i_status,total_students,african_american,african_american_percent,hispanic,hispanic_percent,native_american,native_american_percent,white,white_percent,multiple_race,multiple_race_percent,asian,asian_percent,pacific_islander,pacific_islander_percent,proficiency_pts,Grad_Rate_pts,Dropout_rate,CCRI_points,promotion_rate,No_of_students_adv_placement_course,Students_with_Chronic_Absenteeism,crime_rate,total_students_bullied,personnel_federal_expenditure,personnel_state_and_local_expenditure,non_personnel_federal_expenditure,non_personnel_state_and_local_expenditure,total_per_pupil_expenditure,awards_and_recognitions,academic_offerings,sports_facilities,music_facilities,after_school_opportunities,other_facilities,student_services,acad_focus_1,acad_focus_2,acad_focus_3,acad_focus_4,acad_focus_5
Sonoran Science Academy-Peoria,Peoria,85382,1,1,1,0,3,1,232,37,15.95,50,21.55,10,10.0,113,48.71,21,9.05,10,10.0,10,10.0,16.03,8.84,0.0,20.1,100.0,0.0,92.0,0.0,0.0, 992.36, 6445.88, 1201.29, 5602.85, 14242.38,"['2019 Mathleague 1st place 6th grade', '2019 Mathleague 2nd place 6th grade', '2018 Science Olympiad 2nd place Team Award', '2018 First Lego League Project Award', '2018 First Lego League Coach Mentor Award', ""2022 Tostito's Teacher Award two teachers"", ""2023 Tostito's Teacher Award two teachers"", '2020 Civics Matters 8th grade essay contest-trip to Washington, DC']","['AVID (Advancement Via Individual Determination)', 'Coding', 'Full-day Kindergarten', 'Others', 'chevron_right', '1 to 1 Technology', 'chevron_right', 'Healthy Living', 'chevron_right', 'Mindfulness', 'The school offers advanced math courses for students who test above grade level. Reading groups are assigned by level, so students who are advanced also work above grade level. There is a full reteaching program for students struggling with reading, writing, and math. We have acccess to a full program for Individual Educational Program for Special Ed Students,that includes opportunites for Ocupational and Speech therapy and counseling services. English Language Learners and Title 1 Math and Reading remediation. All students are presented a full basket of educational work that includes academics, art, music, physical education and technical opportunities.']","['Basketball', 'Soccer', 'Track and Field', 'Volleyball', 'SSA Peoria has a very diverse population of students that represent many cultures. It provides an opportunity for students to respect diversity and to learn about the differences that make us all unique and appreciated. We have a very active parent base that support and attend all events scheduled by the school. We provide the opportunity to become a school family and we take good care of each other.']","['Art', 'Ceramics/Sculpting', 'Dance', 'Music', 'Painting', 'Photography', 'Others', 'All students in K-8 participate in Music and Art. Students in middle school are allowed to choose Music or Art elective.']","['Academic', 'chevron_right', 'Science Olympiad', 'chevron_right', 'Engineering Club', 'chevron_right', 'FIRST Lego League', 'chevron_right', 'Gardening and Greenhouse Opportunities-Urban Farmers', 'Arts', 'chevron_right', 'Art Club', 'chevron_right', 'Music Club', 'chevron_right', 'Guitar Club', 'chevron_right', 'Theatre Club', 'chevron_right', 'Yearbook Club', 'chevron_right', 'Cooking Club', 'Athletic', 'chevron_right', 'Soccer', 'chevron_right', 'Volleyball', 'chevron_right', 'Basketball', 'Community/Civic', 'chevron_right', 'Chief Science Officer Program', 'chevron_right', 'Sonoran Schools Mentorship Program', 'chevron_right', 'Student Council', 'chevron_right', 'National Honor Society', 'Elementary After School Care and Programs', 'chevron_right', 'School year program and summer program', 'Tutoring and Mentoring', 'chevron_right', 'Free tutoring available to all students', 'Others', 'chevron_right', 'Lego Club', 'chevron_right', 'Cooking Club', 'chevron_right', 'Gardening Club']","['Art Room', 'Auditorium', 'Cafeteria (Onsite food service)', 'Enhanced Security', 'Garden', 'Gymnasium', 'Indoor air quality control', 'Kindergarten Playground', 'Library', 'Technology Lab', 'Transportation', 'Others', 'chevron_right', 'Music Room', 'chevron_right', 'Greenhouse', 'chevron_right', 'Gagaball pit, tetherball']","['Assistance with Material Needs', 'McKinney-Vento homeless student program', 'Childcare for Student Parents', 'Parent/Family education and support', 'Parenting programs']",1,1,1,1,1
Sonoran Trails Middle School,Phoenix,85085,0,0,1,0,4,0,760,10,10.0,113,14.87,10,10.0,594,78.16,28,3.68,14,1.84,10,10.0,22.22,8.84,0.0,20.1,99.87,0.0,366.0,10.0,9.0, 7273.43, 81628.34, 3095.95, 21473.22, 113470.93,"['Spanish Embassy Award for Excellence in the Instruction of Spanish', 'Confucius Classroom Designation', 'A+ School of Excellence (received twice)', 'RAMP Award - Nationally Recognized Counseling Program', 'Chinese Government Award - 1,000 Hands Together for sister school program success', 'Showcase school for Paxton Patterson Classroom Labs', 'Lighthouse school for Imagine Math']","['Foreign Language', 'Gifted Program', 'Others', 'chevron_right', 'Sci-Tech Elective Class : Career and Technical Education', 'chevron_right', 'Advanced Mathematics offerings based on student readiness']","['Baseball', 'Basketball', 'Cross-Country', 'Softball', 'Spirit/Cheerleading', 'Track and Field', 'Volleyball', 'Wrestling', 'Others', 'chevron_right', 'FIRST Robotics Team']","['Art', 'Band', 'Ceramics/Sculpting', 'Choir', 'Painting', 'Theater', 'Others', 'chevron_right', 'Guitar']","['Academic', 'chevron_right', 'Future Problem Solvers - competitive academic team', 'chevron_right', 'Stinger Robotics - competitive robotic team', 'chevron_right', ""Veteran's Heritage Project"", 'Arts', 'chevron_right', '2D Art Club', 'chevron_right', '3D Art Club', 'chevron_right', 'Drama Club', 'Community/Civic', 'chevron_right', 'Student Council', 'chevron_right', 'National Junior Honor Society', 'Games and Gaming', 'chevron_right', 'Roll playing', 'Speech and Debate', 'chevron_right', 'Stinger Debate', 'Tutoring and Mentoring', 'chevron_right', 'Stingers Unified Sports', 'Others', 'chevron_right', 'Yearbook', 'chevron_right', 'Chinese', 'chevron_right', 'French', 'chevron_right', 'Spanish']","['Art Room', 'Auditorium', 'Cafeteria (Onsite food service)', 'Dedicated Counselors', 'chevron_right', '2', 'Enhanced Security', 'First Aid Center/Health Center', 'Gymnasium', 'Indoor air quality control', 'Library', 'Natural Lighting in 50% areas', 'School Resource Officer (SRO)', 'Science Lab', 'Sports Facilities', 'chevron_right', 'Gymnasium', 'chevron_right', 'Cross Country course', 'chevron_right', ""Baseball field with 75' bases"", 'chevron_right', ""Baseball field with 90' bases"", 'chevron_right', 'Softball field', 'Technology Lab', 'Transportation']",['No data available'],0,0,0,0,0
Sossaman Middle School,Queen Creek,85142,0,0,1,0,5,0,1040,35,3.37,203,19.52,10,10.0,698,67.11,68,6.54,24,2.31,10,10.0,24.3,8.84,0.0,20.1,100.0,0.0,307.0,3.0,0.0, 567.22, 6825.78, 148.36, 1053.02, 8594.38,['A+ School of Excellence'],"['Foreign Language', 'Honors (Independent of IB/AP/Dual Enrollment)']",['No data available'],"['Art', 'Band', 'Ceramics/Sculpting', 'Choir', 'Dance', 'Orchestra', 'Painting', 'Theater']",['No data available'],['No data available'],['No data available'],0,0,0,0,0
South Mountain High School,Phoenix,85040,0,0,0,1,3,1,2145,276,12.87,1743,81.26,18,0.84,62,2.89,34,1.58,10,10.0,10,10.0,8.57,9.13,5.0,15.2,96.85,132.0,942.0,49.0,0.0, 502.67, 8203.03, 94.51, 356.90, 9157.10,"['PXU Highest Freshman On-Track Record', 'PXU Culture and Climate Award', 'Multiple (6) Gold Medals at AZ DECA District 6 Conference', 'PXU Excellence in Education']","['Advanced Placement (AP)', 'Career and Technical Education (CTE)', 'Dual enrollment', 'Foreign Language', 'Gifted Program', 'Online courses', 'ROTC/JROTC', 'Others', 'chevron_right', 'Career Magnet Programs', 'Each academy offers specialized classes. Aerospace and Engineering offers classes such as aerospace science, air traffic control, and flight school, Public and Social Service offerings include criminalistics, economic and the law, American legal system, Science and Technology offerings include nursing, biotechnology and pharmacy and Media Arts and Design offers classes such as digital arts and animation, digital journalism, and audio production']","['Badminton', 'Baseball', 'Basketball', 'Cross-Country', 'Football', 'Golf', 'Soccer', 'Softball', 'Spirit/Cheerleading', 'Tennis', 'Track and Field', 'Volleyball', 'Wrestling', 'Others', 'chevron_right', 'Marching Band', 'We offer 19 sports interscholastic sports opportunities for our students. The sports programs participate in the Arizona Interscholastic Association. ASM has 29 State Championships and student athletes that have earned scholarships to colleges and universities. Some of those athletes are Dwayne Evans (1976 Olympic Bronze Medalist).']","['Art', 'Band', 'Ceramics/Sculpting', 'Choir', 'Cultural Arts', 'Dance', 'Music', 'Orchestra', 'Painting', 'Photography', 'Theater']","['Academic', 'chevron_right', 'Book club', 'chevron_right', 'National Honor Society', 'chevron_right', 'History', 'Arts', 'chevron_right', 'Art Club', 'chevron_right', 'Band', 'chevron_right', 'Dance', 'chevron_right', 'Anime', 'chevron_right', 'Drama', 'chevron_right', 'Vocal Arts', 'Athletic', 'chevron_right', 'STEP', 'chevron_right', 'Letterman Club', 'Business Interest', 'chevron_right', 'HBCU', 'Career Focus', 'chevron_right', 'Law Club', 'chevron_right', 'Engineering', 'Community/Civic', 'chevron_right', 'Student Government', 'chevron_right', 'MEChA', 'chevron_right', 'GSA', 'chevron_right', 'BSU', 'Games and Gaming', 'chevron_right', 'Gaming', 'chevron_right', 'Dungeons and Dragons', 'Tutoring and Mentoring', 'chevron_right', 'Be a Leader', 'Others', 'chevron_right', 'Letterman', 'chevron_right', 'Traveling']","['Art Room', 'Auditorium', 'Book Store', 'Cafeteria (Onsite food service)', 'Early Education Activity/Sensory Room', 'Enhanced Security', 'Garden', 'Gymnasium', 'Indoor air quality control', 'Kindergarten Playground', 'Library', 'Makerspace (Creativity Lab)', 'Music Hall', 'Natural Lighting in 50% areas', 'School Resource Officer (SRO)', 'Science Lab', 'Sports Facilities', 'chevron_right', 'Turf Football/Soccer Field', 'chevron_right', 'Baseball/Softball Field', 'chevron_right', 'Full Gyms', 'chevron_right', 'Tennis Court', 'chevron_right', 'Outdoor Basketball Courts', 'chevron_right', 'Air rifle/Archery Range', 'chevron_right', '2 Full Athletic Fields', 'Technology Lab', 'Transportation', 'chevron_right', 'PXU School Buses / City Bus Passes', 'Late Transportation following school activities', 'Others', 'chevron_right', 'Recording Studio', 'chevron_right', 'Law Center', 'chevron_right', 'Flight Simulator', 'We have a large campus, 56 acres of space. We offer indoor and outdoor facilities.']","['Dedicated School Counselor', 'chevron_right', '7', 'Dedicated School Social Worker', 'chevron_right', '2', 'Mental health services', 'Mental health screenings', 'Individual counseling', 'Small group counseling', 'Health Services (i.e. School-based Health Center)', 'Dedicated Registered Nurse (RN)', 'chevron_right', '1', 'Health aide only', 'Assistance with Material Needs', 'McKinney-Vento homeless student program', 'Clothing/shoe closet', 'Food pantry', 'Designated individual to refer to community supports', 'Childcare for Student Parents', 'Immigrant Services', 'Refugee services', 'Parent/Family education and support', 'Family liaison', 'Parenting programs', 'Parent English classes', 'Partner Mental Health Agencies', 'List', 'chevron_right', 'Teen Lifeline', 'chevron_right', 'Southwest Behavioral Health', 'Partner Community Organizations', 'List', 'chevron_right', 'Elevate Ed', 'chevron_right', 'Homeless Youth Connection', 'chevron_right', 'Department of Economic Security (Vocational Rehab)', 'We offer wrap around services for our students, staff and community']",1,1,1,1,1
South Pointe High School,Phoenix,85042,0,0,0,1,5,1,555,115,20.72,387,69.73,28,5.04,13,2.34,10,10.0,10,10.0,10,10.0,3.11,5.96,23.54,35.0,98.06,0.0,662.0,0.0,0.0, 1568.29, 3647.03, 1151.30, 3904.90, 10271.53,['No data available'],"['Dual enrollment', 'Foreign Language', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Online courses', 'ROTC/JROTC']","['Baseball', 'Basketball', 'Cross-Country', 'Football', 'Soccer', 'Spirit/Cheerleading', 'Track and Field']","['Art', 'Dance']",['No data available'],"['Art Room', 'Cafeteria (Onsite food service)', 'Dedicated Counselors', 'chevron_right', '00.5', 'Science Lab', 'Technology Lab', 'Transportation']",['No data available'],0,0,0,0,0
South Ridge High School,Phoenix,85043,0,0,0,1,4,1,408,19,4.66,365,89.46,10,10.0,15,3.68,10,10.0,0,0.0,10,10.0,15.35,10.0,4.97,19.9,98.99,48.0,290.0,1.0,1.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,"['Ranked by the U.S. News & World Report ""Best High Schools"" 2010, 2012, 2015, 2016, 2017 and 2018, 2019, 2020, 2021, 2022, 2023, 2024', 'Ranked by the U.S. News & World Report ""Best High Schools"" receiving Silver Status in 2013 and 2014.', ""Class of 2019 has a 96.34% four-year graduation rate, one of the criteria which secured their spot on America's Top High Schools 2019 list.""]","['Advanced Placement (AP)', 'Dual enrollment', 'Foreign Language', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Online courses']","['Basketball', 'Soccer', 'Volleyball']","['Art', 'Ceramics/Sculpting', 'Choir', 'Music', 'Painting', 'Theater']","['Academic', 'chevron_right', 'NHS', 'chevron_right', 'STUCCO', 'Arts', 'chevron_right', 'Art Club', 'chevron_right', 'Drama Club', 'chevron_right', 'Arts Night']","['Cafeteria (Onsite food service)', 'Dedicated Counselors', 'chevron_right', '.5', 'School Resource Officer (SRO)', 'Science Lab', 'Transportation']",['No data available'],1,1,1,1,1
Southwest Leadership Academy,Phoenix,85043,0,0,0,1,4,1,196,19,9.69,168,85.71,10,10.0,10,10.0,0,0.0,0,0.0,0,0.0,1.6,5.51,9.5,35.0,96.23,0.0,306.0,8.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,['No data available'],"['Career and Technical Education (CTE)', 'Coding', 'Dual enrollment', 'Foreign Language', 'Others', 'chevron_right', 'Drones, Coding']","['Baseball', 'Basketball', 'Football', 'Softball', 'Spirit/Cheerleading', 'Track and Field', 'Volleyball', 'Wrestling']","['Art', 'Music']","['Academic', 'chevron_right', 'Before and after school tutoring', 'chevron_right', 'Evening School', 'chevron_right', 'Saturday Catch-up Days', 'Athletic', 'chevron_right', 'Baseball', 'chevron_right', 'Softball', 'chevron_right', 'Volleyball', 'chevron_right', 'Football', 'chevron_right', 'Track and Field', 'chevron_right', 'Cheer', 'chevron_right', 'Wrestling', 'chevron_right', 'Girls and Boys Basketball', 'Career and Technical Education (CTE)', 'chevron_right', 'Drones and Coding', 'chevron_right', 'Cosmetology and Barbering', 'Tutoring and Mentoring', 'chevron_right', 'Before and afterschool tutoring', 'Others', 'chevron_right', 'Evening School']","['Cafeteria (Onsite food service)', 'Dedicated Counselors', 'chevron_right', '2', 'Indoor air quality control', 'Library', 'Music Hall', 'Natural Lighting in 50% areas', 'Transportation', 'Others', 'chevron_right', 'Weight room for weight training classes']",['No data available'],0,0,0,0,0
Stapley Junior High School,Mesa,85213,0,0,1,0,5,0,980,10,10.0,212,21.63,87,8.88,646,65.92,15,1.53,10,10.0,10,10.0,21.58,8.84,0.0,20.1,100.0,0.0,284.0,15.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,"['""A"" Plus School of Excellence']","['AVID (Advancement Via Individual Determination)', 'Career and Technical Education (CTE)', 'Foreign Language', 'Gifted Program', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Others', 'Dual Language Immersion (Spanish)']","['Badminton', 'Baseball', 'Basketball', 'Cross-Country', 'Football', 'Soccer', 'Softball', 'Volleyball', 'Wrestling']","['Art', 'Band', 'Ceramics/Sculpting', 'Choir', 'Music', 'Orchestra', 'Painting', 'Theater']","['Academic', 'chevron_right', 'NJHS, Academic League, Math, and Spelling Bee', 'Athletic', 'chevron_right', 'Listed under Athletics', 'Career and Technical Education (CTE)', 'chevron_right', 'STEM, Robotics', 'Tutoring and Mentoring', 'chevron_right', 'All academic areas']","['Art Room', 'Auditorium', 'Book Store', 'Cafeteria (Onsite food service)', 'Certified Nurse (LNP/RN)', 'Dedicated Counselors', 'chevron_right', '2', 'Enhanced Security', 'First Aid Center/Health Center', 'Garden', 'Gymnasium', 'Indoor air quality control', 'Library', 'Makerspace (Creativity Lab)', 'Music Hall', 'Natural Lighting in 50% areas', 'School Resource Officer (SRO)', 'Science Lab', 'Technology Lab', 'Transportation']","['Dedicated School Counselor', 'chevron_right', '2.5']",1,1,1,1,1
Sun Valley High School,Mesa,85204,0,0,0,1,4,1,372,28,7.53,243,65.32,16,4.3,68,18.28,14,3.76,10,10.0,10,10.0,2.72,4.21,34.33,35.0,78.42,0.0,624.0,3.0,0.0, 1472.73, 3630.45, 818.41, 3865.25, 9786.84,['No data available'],['No data available'],['No data available'],['No data available'],['No data available'],['No data available'],['No data available'],0,0,0,0,0
Sunflower School,Glendale,85306,1,1,1,1,4,0,24,10,10.0,12,50.0,10,10.0,10,10.0,10,10.0,0,0.0,0,0.0,15.46,8.84,8.33,20.1,86.36,0.0,16.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,['No data available'],['No data available'],['No data available'],['No data available'],['No data available'],['No data available'],['No data available'],0,0,0,0,0
Sunnyslope High School,Phoenix,85021,0,0,0,1,5,1,2281,102,4.47,1239,54.32,42,1.84,787,34.5,79,3.46,10,10.0,10,10.0,24.62,10.0,1.11,20.0,99.54,319.0,776.0,17.0,0.0, 965.47, 7594.58, 334.89, 1336.84, 10231.78,"['Sunnyslope is ranked by U.S. News and World Report for Best High Schools', 'Sunnyslope was awarded an ""A"" School Letter Grade by the Arizona Department of Education']","['Advanced Placement (AP)', 'Career and Technical Education (CTE)', 'Coding', 'Dual enrollment', 'Foreign Language', 'Gifted Program', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Online courses', 'ROTC/JROTC', 'Others', 'chevron_right', 'Marketing and Video Production', 'chevron_right', 'Photos', 'chevron_right', 'Engineering']","['Badminton', 'Baseball', 'Basketball', 'Cross-Country', 'Football', 'Golf', 'Gymnastics', 'Soccer', 'Softball', 'Spirit/Cheerleading', 'Swimming', 'Tennis', 'Track and Field', 'Volleyball', 'Wrestling', 'Others', 'chevron_right', 'Sand Volleyball', 'chevron_right', 'E Sports', 'chevron_right', 'Chess']","['Art', 'Band', 'Ceramics/Sculpting', 'Choir', 'Cultural Arts', 'Dance', 'Music', 'Orchestra', 'Painting', 'Photography', 'Theater']","['Academic', 'chevron_right', 'World Language Club', 'chevron_right', 'Academic Decathlon', 'chevron_right', 'Speech and Debate', 'chevron_right', 'National Honor Society', 'chevron_right', 'Close Up', 'chevron_right', 'Math Club', 'chevron_right', 'Science Club', 'chevron_right', 'History Club', 'Arts', 'chevron_right', 'Dance Club', 'chevron_right', 'Art Club', 'chevron_right', 'Thespian Club', 'chevron_right', 'Vocal Ensemble', 'chevron_right', 'Music Clubs', 'Athletic', 'chevron_right', 'Special Olympics', 'chevron_right', 'See List of Sports', 'Career and Technical Education (CTE)', 'chevron_right', 'Skills USA', 'chevron_right', 'FBLA', 'chevron_right', 'FCCLA', 'Community/Civic', 'chevron_right', 'Link Crew', 'chevron_right', 'Key Club', 'Games and Gaming', 'chevron_right', ""Gamer's Club E-Sports"", 'ROTC/JROTC', 'chevron_right', 'AJROTC', 'Speech and Debate', 'chevron_right', 'Speech', 'Tutoring and Mentoring', 'chevron_right', 'Viking Center']","['Art Room', 'Auditorium', 'Book Store', 'Cafeteria (Onsite food service)', 'Certified Nurse (LNP/RN)', 'Dedicated Counselors', 'chevron_right', '5', 'First Aid Center/Health Center', 'Gymnasium', 'Library', 'Music Hall', 'School Resource Officer (SRO)', 'Science Lab', 'Sports Facilities', 'chevron_right', 'Baseball', 'chevron_right', 'Football', 'chevron_right', 'Track and Field', 'chevron_right', 'Badminton', 'chevron_right', 'Basketball', 'chevron_right', 'Racketball', 'chevron_right', 'Soccer', 'chevron_right', 'Softball', 'chevron_right', 'Multipurpose', 'chevron_right', 'Wrestling', 'Technology Lab', 'Transportation']",['No data available'],0,0,0,0,0
